id,vitamin b_2,sunlight,soil moisture,air temperature
1,110.4,176,7.0,78
2,102.8,155,7.0,89
3,101.0,273,7.0,89
4,108.4,273,7.0,72
5,100.7,256,7.0,84
6,100.3,280,7.0,87
7,102.0,280,7.0,74
8,93.7,184,7.0,87
9,98.9,216,7.0,88
10,96.6,198,2.0,76
11,99.4,59,2.0,65
12,96.2,80,2.0,67
13,99.0,80,2.0,62
14,88.4,105,2.0,70
15,75.3,180,2.0,73
16,92.0,180,2.0,65
17,82.4,177,2.0,76
18,77.1,230,2.0,82
19,74.0,203,47.4,76
20,65.7,191,47.4,83
21,56.8,191,47.4,82
22,62.1,191,47.4,69
23,61.0,76,47.4,74
24,53.2,213,47.4,76
25,59.4,213,47.4,69
26,58.7,151,47.4,75
27,58.0,205,47.4,76
